tag,label,type
P:2953530,PLS 69/2011,processo
P:2954193,PLS 12/2011,processo
P:3044860,PEC 30/2011,processo
P:513827,PLC 72/2012,processo
P:603637,PLS 423/2012,processo
P:603901,PLS 406/2012,processo
P:603925,PLS 404/2012,processo
P:604045,PLS 395/2012,processo
P:604381,PLS 368/2012,processo
P:604405,PLS 361/2012,processo
P:604477,PLS 354/2012,processo
P:604525,PLS 349/2012,processo
P:607421,PLS 153/2012,processo
P:607445,PLS 151/2012,processo
P:608129,PLS 94/2012,processo
P:608730,PLS 47/2012,processo
P:609346,PLS 4/2012,processo
P:1409397,PEC 14/2012,processo
P:2936208,PLC 131/2012,processo
P:2937525,PLS 424/2012,processo
P:2937549,PLS 418/2012,processo
P:2937825,PLS 405/2012,processo
P:2938411,PLS 372/2012,processo
P:2938507,PLS 363/2012,processo
P:2938666,PLS 356/2012,processo
P:2939030,PLS 308/2012,processo
P:2939135,PLC 80/2012,processo
P:2941562,PLS 158/2012,processo
P:2941996,PLS 127/2012,processo
P:2944079,PLS 17/2012,processo
P:2944197,PLS 8/2012,processo
P:3041518,PEC 47/2012,processo
P:3042433,PEC 17/2012,processo
P:511411,PLC 105/2013,processo
P:512113,PLC 64/2013,processo
P:512230,PLC 61/2013,processo
P:595362,PLS 532/2013,processo
P:596294,PLS 477/2013,processo
P:596936,PLS 426/2013,processo
P:596984,PLS 420/2013,processo
P:597222,PLS 407/2013,processo
P:597462,PLS 386/2013,processo
P:597580,PLS 382/2013,processo
P:597628,PLS 377/2013,processo
P:597724,PLS 373/2013,processo
P:598074,PLS 349/2013,processo
P:598542,PLS 314/2013,processo
P:599020,PLS 284/2013,processo
P:599571,PLS 250/2013,processo
P:600119,PLS 202/2013,processo
P:601841,PLS 92/2013,processo
P:602129,PLS 68/2013,processo
P:602725,PLS 23/2013,processo
P:1405342,PEC 71/2013,processo
P:1406222,PEC 45/2013,processo
P:1407155,PEC 12/2013,processo
P:2928971,PLS 488/2013,processo
P:2930133,PLS 419/2013,processo
P:2930181,PLS 418/2013,processo
P:2931225,PLS 357/2013,processo
P:2931719,PLS 304/2013,processo
P:2932396,PLC 42/2013,processo
P:2933365,PLS 212/2013,processo
P:2933844,PLS 170/2013,processo
P:2934411,PLC 13/2013,processo
P:2934760,PLC 8/2013,processo
P:2934859,PLS 104/2013,processo
P:2935695,PLS 41/2013,processo
P:2935933,PLS 16/2013,processo
P:3038932,PEC 63/2013,processo
P:3039078,PEC 54/2013,processo
P:3039992,PEC 21/2013,processo
P:3040642,PEC 2/2013,processo
P:508717,PLC 113/2014,processo
P:509497,PLC 66/2014,processo
P:509615,PLC 64/2014,processo
P:509888,PLC 53/2014,processo
P:510397,PLC 30/2014,processo
P:510436,PLC 31/2014,processo
P:510904,PLC 11/2014,processo
P:510943,PLC 10/2014,processo
P:587919,PLS 424/2014,processo
P:587991,PLS 416/2014,processo
P:588157,PLS 411/2014,processo
P:588968,PLS 368/2014,processo
P:590696,PLS 262/2014,processo
P:590720,PLS 261/2014,processo
P:590768,PLS 259/2014,processo
P:591200,PLS 229/2014,processo
P:591792,PLS 194/2014,processo
P:592102,PLS 172/2014,processo
P:592174,PLS 170/2014,processo
P:592650,PLS 144/2014,processo
P:592674,PLS 139/2014,processo
P:592698,PLS 138/2014,processo
P:592722,PLS 137/2014,processo
P:593562,PLS 91/2014,processo
P:593686,PLS 84/2014,processo
P:593830,PLS 76/2014,processo
P:593926,PLS 69/2014,processo
P:594188,PLS 51/2014,processo
P:594286,PLS 47/2014,processo
P:1403234,PEC 45/2014,processo
P:1403285,PEC 44/2014,processo
P:1404464,PEC 19/2014,processo
P:1404936,PEC 7/2014,processo
P:1405040,PEC 5/2014,processo
P:2923257,PLS 423/2014,processo
P:2923281,PLS 422/2014,processo
P:2923305,PLS 421/2014,processo
P:2924041,PLC 93/2014,processo
P:2924777,PLS 248/2014,processo
P:2925300,PLC 75/2014,processo
P:2925441,PLC 70/2014,processo
P:2925516,PLS 221/2014,processo
P:2925538,PLS 220/2014,processo
P:2925865,PLS 191/2014,processo
P:2925913,PLS 186/2014,processo
P:2927384,PLS 79/2014,processo
P:2927552,PLS 59/2014,processo
P:2927576,PLS 58/2014,processo
P:2927672,PLS 45/2014,processo
P:2927961,PLS 21/2014,processo
P:3037890,PEC 56/2014,processo
P:502664,PLC 215/2015,processo
P:502818,PLC 217/2015,processo
P:502857,PLC 218/2015,processo
P:502935,PLC 216/2015,processo
P:503091,PLC 207/2015,processo
P:503130,PLC 206/2015,processo
P:503208,PLC 201/2015,processo
P:503286,PLC 202/2015,processo
P:503403,PLC 197/2015,processo
P:503442,PLC 196/2015,processo
P:503481,PLC 199/2015,processo
P:503559,PLC 191/2015,processo
P:503637,PLC 193/2015,processo
P:503793,PLC 184/2015,processo
P:503832,PLC 183/2015,processo
P:503871,PLC 182/2015,processo
P:503949,PLC 181/2015,processo
P:503988,PLC 180/2015,processo
P:504027,PLC 178/2015,processo
P:504105,PLC 176/2015,processo
P:504144,PLC 173/2015,processo
P:504183,PLC 170/2015,processo
P:504222,PLC 171/2015,processo
P:504300,PLC 174/2015,processo
P:504417,PLC 166/2015,processo
P:504456,PLC 165/2015,processo
P:504573,PLC 162/2015,processo
P:504612,PLC 161/2015,processo
P:504651,PLC 160/2015,processo
P:504729,PLC 159/2015,processo
P:504807,PLC 154/2015,processo
P:504846,PLC 153/2015,processo
P:504963,PLC 150/2015,processo
P:505081,PLC 145/2015,processo
P:505120,PLC 139/2015,processo
P:505159,PLC 137/2015,processo
P:505198,PLC 135/2015,processo
P:505237,PLC 141/2015,processo
P:505393,PLC 138/2015,processo
P:505432,PLC 130/2015,processo
P:505549,PLC 126/2015,processo
P:505588,PLC 123/2015,processo
P:505627,PLC 122/2015,processo
P:505783,PLC 112/2015,processo
P:505822,PLC 110/2015,processo
P:505861,PLC 111/2015,processo
P:505900,PLC 108/2015,processo
P:505978,PLC 107/2015,processo
P:506056,PLC 106/2015,processo
P:506095,PLC 96/2015,processo
P:506134,PLC 98/2015,processo
P:506290,PLC 90/2015,processo
P:506368,PLC 85/2015,processo
P:506407,PLC 79/2015,processo
P:506446,PLC 74/2015,processo
P:506485,PLC 73/2015,processo
P:506524,PLC 71/2015,processo
P:506563,PLC 66/2015,processo
P:506602,PLC 65/2015,processo
P:506680,PLC 68/2015,processo
P:506724,PLC 67/2015,processo
P:506763,PLC 63/2015,processo
P:506802,PLC 59/2015,processo
P:506880,PLC 55/2015,processo
P:506919,PLC 56/2015,processo
P:507075,PLC 43/2015,processo
P:507114,PLC 48/2015,processo
P:507192,PLC 45/2015,processo
P:507270,PLC 46/2015,processo
P:507348,PLC 40/2015,processo
P:507465,PLC 36/2015,processo
P:507581,PLC 33/2015,processo
P:507620,PLC 29/2015,processo
P:507659,PLC 27/2015,processo
P:507813,PLC 9/2015,processo
P:507969,PLC 5/2015,processo
P:508011,PLC 3/2015,processo
P:573632,PLS 796/2015,processo
P:573704,PLS 793/2015,processo
P:573752,PLS 789/2015,processo
P:573801,PLS 790/2015,processo
P:573849,PLS 787/2015,processo
P:573993,PLS 780/2015,processo
P:574017,PLS 779/2015,processo
P:574113,PLS 775/2015,processo
P:574185,PLS 771/2015,processo
P:574279,PLS 763/2015,processo
P:574305,PLS 765/2015,processo
P:574377,PLS 764/2015,processo
P:574498,PLS 760/2015,processo
P:574522,PLS 761/2015,processo
P:574594,PLS 752/2015,processo
P:574690,PLS 749/2015,processo
P:575050,PLS 728/2015,processo
P:575074,PLS 729/2015,processo
P:575122,PLS 725/2015,processo
P:575146,PLS 724/2015,processo
P:575194,PLS 719/2015,processo
P:575266,PLS 722/2015,processo
P:575386,PLS 712/2015,processo
P:575506,PLS 707/2015,processo
P:575530,PLS 705/2015,processo
P:575602,PLS 702/2015,processo
P:575794,PLS 691/2015,processo
P:576058,PLS 681/2015,processo
P:576130,PLS 676/2015,processo
P:576178,PLS 673/2015,processo
P:576250,PLS 669/2015,processo
P:576394,PLS 662/2015,processo
P:576418,PLS 661/2015,processo
P:576562,PLS 651/2015,processo
P:576586,PLS 649/2015,processo
P:576802,PLS 637/2015,processo
P:576922,PLS 630/2015,processo
P:576971,PLS 627/2015,processo
P:577019,PLS 625/2015,processo
P:577043,PLS 624/2015,processo
P:577067,PLS 622/2015,processo
P:577115,PLS 620/2015,processo
P:577283,PLS 610/2015,processo
P:577307,PLS 611/2015,processo
P:577427,PLS 605/2015,processo
P:577451,PLS 604/2015,processo
P:577475,PLS 603/2015,processo
P:577643,PLS 595/2015,processo
P:577667,PLS 594/2015,processo
P:577691,PLS 593/2015,processo
P:577715,PLS 592/2015,processo
P:577931,PLS 580/2015,processo
P:578003,PLS 576/2015,processo
P:578027,PLS 573/2015,processo
P:578193,PLS 562/2015,processo
P:578217,PLS 565/2015,processo
P:578337,PLS 559/2015,processo
P:578361,PLS 557/2015,processo
P:578409,PLS 549/2015,processo
P:578553,PLS 540/2015,processo
P:578649,PLS 538/2015,processo
P:578865,PLS 522/2015,processo
P:578937,PLS 520/2015,processo
P:578985,PLS 517/2015,processo
P:579179,PLS 503/2015,processo
P:579299,PLS 499/2015,processo
P:579347,PLS 498/2015,processo
P:579607,PLS 486/2015,processo
P:579655,PLS 480/2015,processo
P:579775,PLS 469/2015,processo
P:579823,PLS 467/2015,processo
