id_orgao,nome,cod_tipo_orgao,uri,year_snapshot,rn
6462,"Comissão Parlamentar de Inquérito com a finalidade de investigar a realidade do Sistema Carcerário brasileiro, com destaque para a superlotação dos presídios, custos sociais e econômicos desses estabelecimentos, a permanência de encarcerados que já cumpriram pena, a violência dentro das instituições do sistema carcerário, a corrupção, o crime organizado e suas ramificações nos presídios e buscar soluções para o efetivo cumprimento da Lei de Execuções Penais.",4,https://dadosabertos.camara.leg.br/api/v2/orgaos/6462,2020,1
6697,"Comissão Parlamentar de Inquérito  destinada a investigar as causas, conseqüências e responsáveis pelos desaparecimentos de crianças e adolescentes no Brasil no período de 2005 a 2007.",4,https://dadosabertos.camara.leg.br/api/v2/orgaos/6697,2020,1
537127,Comissão Parlamentar de Inquérito destinada a apurar a exploração do trabalho infantil no Brasil e dá outras providências,4,https://dadosabertos.camara.leg.br/api/v2/orgaos/537127,2020,1
6303,Comissão Parlamentar Mista de Inquérito destinada a investigar as causas e consequências de denúncias de atos delituosos praticados por agentes públicos nos Correios - Empresa Brasileira de Correios e Telégrafos.,20,https://dadosabertos.camara.leg.br/api/v2/orgaos/6303,2020,1
537389,"Comissão Especial destinada a analisar e apresentar propostas com relação à partilha de recursos públicos e respectivas obrigações da União, dos Estados, dos Municípios e do Distrito Federal (Pacto Federativo)",3,https://dadosabertos.camara.leg.br/api/v2/orgaos/537389,2020,1
101798,Iniciativa Popular,70000,https://dadosabertos.camara.leg.br/api/v2/orgaos/101798,2020,1
537939,"Comissão Especial para análise, estudo e formulação de proposições relacionadas à Reforma Política",3,https://dadosabertos.camara.leg.br/api/v2/orgaos/537939,2020,1
10119,Celso Pansera,70000,https://dadosabertos.camara.leg.br/api/v2/orgaos/10119,2020,1
539426,Comissão Parlamentar de Inquérito destinada a investigar as inconsistências da ordem de 20 bilhões de reais detectadas em lançamentos contábeis da empresa Americanas S.A. realizados no exercício de 2022 e em exercícios anteriores,4,https://dadosabertos.camara.leg.br/api/v2/orgaos/539426,2020,1
539461,"Comissão Parlamentar de Inquérito destinada a investigar indícios de operações fraudulentas sofisticadas na gestão de diversas empresas de serviços financeiros que prometem gerar patrimônio por meio de gestão de criptomoedas, com divulgação de informações falsas sobre projetos ou serviços e promessa de rentabilidade anormalmente alta ou garantida e inexistência de taxas, mas constituindo-se em sistema de remuneração alimentado pela entrada de novos participantes (o que tem trazido prejuízos vultosos aos investidores e a toda a sociedade, entre os anos de 2019 e 2022)",4,https://dadosabertos.camara.leg.br/api/v2/orgaos/539461,2020,1
101582,Tribunal de Contas da União,70000,https://dadosabertos.camara.leg.br/api/v2/orgaos/101582,2020,1
