proc_tag,auth_tag
P:7387182,O:2
P:7387188,O:2
P:7387194,O:2
P:7387200,O:2
P:7387965,S:72
P:7388279,S:3372
P:7388473,S:70
P:7388537,S:5112
P:7389176,O:3947422
P:7389808,S:5533
P:7389981,S:5535
P:7390295,S:5100
P:7390306,S:643
P:7390855,S:5197
P:7390857,S:5197
P:7390861,S:5197
P:7390863,S:5197
P:7390865,S:5197
P:7390916,S:5197
P:7390950,S:5197
P:7390961,S:635
P:7390989,S:635
P:7391004,S:635
P:7391043,S:5070
P:7391048,S:1176
P:7391095,S:3396
P:7391350,O:2
P:7392289,S:4721
P:7392311,S:5533
P:7392352,S:5100
P:7393190,S:635
P:7393302,S:558
P:7393403,S:5070
P:7393457,S:1176
P:7393491,S:3713
P:7394259,S:2331
P:7394616,S:4767
P:7394727,S:90
P:7394765,S:945
P:7394797,O:3947422
P:7394923,S:631
P:7394925,S:631
P:7395294,S:5116
P:7396032,S:945
P:7396174,S:5140
P:7396186,S:374
P:7396267,S:5006
P:7396832,S:5100
P:7396937,S:5100
P:7397037,O:2
P:7397049,O:2
P:7397061,O:2
P:7397073,O:2
P:7397901,S:456
P:7398099,S:5000
P:7398156,S:739
P:7398469,S:5012
P:7398868,O:2
P:7398875,O:2
