from,to,weight
CD:160632,CP:2201533,0.25
CD:204408,CP:2201751,0.25
CD:204408,CP:2201752,0.25
CD:204450,CP:2201753,0.25
CD:204416,CP:2201912,0.25
CD:160655,CP:2203087,1.0
CD:204456,CP:2203096,0.25
CD:72442,CP:2203111,0.25
CD:204466,CP:2203208,0.5
CD:204479,CP:2203477,0.0
CD:74646,CP:2203509,0.0
CD:204573,CP:2203596,0.25
CD:204455,CP:2203624,0.25
CD:204393,CP:2203913,0.25
CD:204487,CP:2203942,0.0
CD:204476,CP:2204011,0.25
CD:204480,CP:2204065,0.25
CD:204525,CP:2204108,0.0
CD:204488,CP:2204121,0.25
CD:204488,CP:2204132,0.25
CD:204385,CP:2204202,0.0
CD:160512,CP:2204214,0.25
CD:204459,CP:2204230,0.25
CD:204511,CP:2204328,0.0
CD:204423,CP:2204333,0.25
CD:204560,CP:2204350,0.25
CD:204405,CP:2204438,0.25
CD:204427,CP:2204484,0.25
CD:73486,CP:2204557,0.25
CD:204502,CP:2204637,0.25
CD:178929,CP:2204702,0.25
CD:204428,CP:2205203,0.25
CD:141552,CP:2205216,0.25
CD:141552,CP:2205218,0.0
CD:204354,CP:2205433,0.25
CD:178863,CP:2205521,0.25
CD:204538,CP:2205538,0.25
CD:204376,CP:2205559,0.25
CD:141553,CP:2205645,1.0
CD:204481,CP:2206168,0.25
CO:253,CP:2206203,1.0
CD:204537,CP:2206252,0.25
CD:160532,CP:2206294,0.0
CD:90201,CP:2206389,0.0
CO:253,CP:2206395,0.75
CD:160534,CP:2206440,0.25
CD:204522,CP:2206510,0.25
CD:204406,CP:2206592,0.0
CD:204514,CP:2207066,0.25
CD:141428,CP:2207075,0.25
CD:141428,CP:2207082,0.25
CD:204359,CP:2207458,0.25
CD:204359,CP:2207459,0.25
CD:141552,CP:2207469,0.25
CD:178916,CP:2207488,0.25
CD:204573,CP:2207498,0.25
CD:204532,CP:2207511,0.25
CD:204411,CP:2207558,0.0
CD:204378,CP:2207673,0.25
CD:204388,CP:2207717,0.25
CD:204507,CP:2207767,0.25
CD:178937,CP:2207803,0.25
CD:204540,CP:2207821,0.25
CD:141428,CP:2208033,0.25
CD:204444,CP:2208090,0.0
CD:164359,CP:2208102,0.0
CD:160534,CP:2208323,0.25
CD:160534,CP:2208325,0.25
CD:204458,CP:2208366,0.25
CO:78,CP:2208679,0.75
CO:78,CP:2208682,0.75
CO:78,CP:2208683,0.75
CO:78,CP:2208696,0.75
CO:78,CP:2208704,0.75
CD:164360,CP:2208715,0.25
CO:253,CP:2208720,0.5
CD:204444,CP:2208914,0.25
CD:204444,CP:2208919,0.0
CD:204399,CP:2209022,0.25
CD:98057,CP:2209101,0.25
CD:204531,CP:2209143,0.0
CD:166402,CP:2209477,0.0
CD:204377,CP:2209672,0.25
CD:204484,CP:2209908,0.0
CD:204369,CP:2209952,0.25
CD:204550,CP:2210097,0.25
CO:78,CP:2210109,0.75
CD:178925,CP:2210127,1.0
CD:204525,CP:2210260,0.25
CD:171623,CP:2210295,0.25
CD:116379,CP:2210706,0.25
CO:78,CP:2210757,0.75
CD:204570,CP:2210811,0.25
CD:205476,CP:2210896,0.25
CD:204541,CP:2211561,0.25
CD:108338,CP:2211689,0.25
CD:204352,CP:2211757,0.25
CD:178925,CP:2211836,0.25
CD:178925,CP:2211840,0.25
CD:204488,CP:2211880,0.0
CD:205865,CP:2211927,0.25
CD:115746,CP:2212010,0.25
CD:204548,CP:2212069,0.25
CD:204378,CP:2212074,0.25
CD:204457,CP:2212104,0.25
CD:204538,CP:2212149,0.25
CD:204457,CP:2212201,0.25
CD:204433,CP:2212434,0.25
CD:178989,CP:2212439,0.25
CD:178874,CP:2212479,0.25
CD:204462,CP:2212577,0.25
CO:253,CP:2212588,0.5
CO:78,CP:2212908,0.75
CO:253,CP:2212915,0.25
CD:122974,CP:2212927,0.25
CO:253,CP:2212949,0.5
CO:253,CP:2213191,0.5
CO:253,CP:2213200,1.0
CD:160653,CP:2213221,0.25
CD:160653,CP:2213229,0.0
CD:160653,CP:2213238,0.25
CO:253,CP:2213323,0.25
CO:253,CP:2213325,0.25
CD:160587,CP:2213524,0.25
CD:204511,CP:2213734,0.25
CD:179587,CP:2213774,0.0
CD:141401,CP:2213795,0.25
CD:141488,CP:2213953,0.25
CD:178993,CP:2213984,0.25
CD:204517,CP:2214009,0.25
CD:204427,CP:2214010,0.25
CD:204534,CP:2214025,0.25
CD:204408,CP:2214038,0.25
CD:178977,CP:2214043,0.25
CD:204455,CP:2214140,0.25
CD:204492,CP:2214197,0.25
CD:81297,CP:2214218,0.25
CD:204428,CP:2214292,0.25
CD:204421,CP:2214320,0.25
CD:74044,CP:2214373,0.25
CD:204520,CP:2214410,0.0
CD:204532,CP:2214421,0.25
CD:204466,CP:2214425,0.25
CD:178956,CP:2214544,0.25
CD:204570,CP:2214679,0.25
CD:204385,CP:2214693,0.25
CD:74356,CP:2214932,0.25
CD:204566,CP:2214947,0.25
CD:74585,CP:2215040,0.0
CD:204368,CP:2215120,0.25
CD:178842,CP:2215287,0.25
CD:141459,CP:2215296,0.25
CD:204431,CP:2215300,0.25
CD:204472,CP:2215307,0.25
CD:204514,CP:2215656,0.25
CD:67138,CP:2215677,0.25
CD:204488,CP:2215682,0.25
CD:204572,CP:2215702,0.25
CD:204511,CP:2215740,0.25
CD:204381,CP:2215866,0.25
CD:204416,CP:2215875,0.25
CO:253,CP:2216030,0.5
CD:204550,CP:2216056,0.25
CD:205476,CP:2216076,0.25
CD:204503,CP:2216080,0.25
CD:204520,CP:2216156,0.25
CD:204359,CP:2216158,0.25
CD:204548,CP:2216164,0.25
CD:204371,CP:2216340,0.25
CD:204553,CP:2216376,0.5
CD:73696,CP:2216653,0.25
CD:178953,CP:2216781,0.25
CD:73466,CP:2216794,0.25
CD:204400,CP:2217323,0.25
CD:204359,CP:2217371,0.25
CD:178933,CP:2217440,0.25
CD:160635,CP:2217445,0.25
CD:178954,CP:2217547,0.25
CD:160610,CP:2217561,0.25
CD:204531,CP:2217633,0.0
CD:67138,CP:2217641,0.25
CD:178986,CP:2217702,0.25
CD:178929,CP:2217765,0.25
CD:204460,CP:2217781,0.25
CD:160640,CP:2217784,0.25
CD:139285,CP:2217799,0.25
CD:178989,CP:2217809,0.25
CD:178977,CP:2217834,0.25
CD:204440,CP:2217861,0.25
CO:253,CP:2218078,0.0
CD:193726,CP:2218079,0.25
CD:204383,CP:2218200,0.25
CD:204383,CP:2218208,0.25
CD:178992,CP:2218250,1.0
CD:164360,CP:2218307,0.25
CD:164360,CP:2218309,0.25
CD:204427,CP:2218355,0.25
CD:204416,CP:2218439,0.0
CD:74161,CP:2218523,0.25
CD:122158,CP:2218543,0.25
CD:204517,CP:2218564,0.25
CD:206231,CP:2218881,0.25
CO:253,CP:2218900,1.0
CO:253,CP:2219196,0.75
CO:253,CP:2219197,0.75
CD:204393,CP:2219261,0.25
CD:178997,CP:2219333,0.25
CD:204420,CP:2219380,0.25
CD:81297,CP:2219447,0.25
CD:166402,CP:2219647,0.25
CD:133439,CP:2219649,0.0
CD:204573,CP:2219664,0.0
CD:204474,CP:2219672,0.25
CD:178889,CP:2219676,1.0
CD:204361,CP:2219786,1.0
CD:204430,CP:2219887,0.25
CO:78,CP:2220037,0.75
CD:205865,CP:2220117,0.0
CD:160673,CP:2220121,0.25
CD:90201,CP:2220179,0.25
CD:178989,CP:2220201,0.25
CD:81297,CP:2220226,0.25
CD:204374,CP:2220292,0.5
CD:204394,CP:2220389,0.25
CD:160639,CP:2220578,0.25
CD:178925,CP:2220615,0.25
CD:178912,CP:2220682,0.25
CD:204352,CP:2220701,0.25
CD:204514,CP:2220756,0.25
CD:204440,CP:2220838,0.25
CD:141401,CP:2220903,0.25
CD:204377,CP:2220934,0.25
CD:116379,CP:2220965,0.25
CD:160518,CP:2220991,0.0
CD:74356,CP:2221373,1.0
CD:178908,CP:2221713,0.0
CD:160655,CP:2221721,0.0
CD:204534,CP:2222055,0.25
CD:204421,CP:2222067,0.25
CD:204421,CP:2222070,0.25
CD:204516,CP:2222285,0.25
CD:81297,CP:2222309,0.25
CD:74052,CP:2222776,0.25
CD:178956,CP:2222834,0.25
CD:204450,CP:2222861,0.0
CO:253,CP:2222884,1.0
CD:204472,CP:2222905,0.25
CD:204472,CP:2222910,0.25
CD:204432,CP:2223415,0.25
CD:204523,CP:2223432,0.25
CD:204478,CP:2223551,0.25
CD:206231,CP:2223554,0.25
CD:178939,CP:2223715,0.25
CD:74585,CP:2223766,0.25
CD:204415,CP:2223939,0.25
CD:74366,CP:2223942,0.25
CD:204461,CP:2223951,1.0
CD:198783,CP:2223976,0.25
CO:253,CP:2224067,1.0
CD:204394,CP:2224191,0.25
CD:204458,CP:2224220,0.0
CD:204466,CP:2224225,1.0
CD:160635,CP:2224295,0.25
CD:74052,CP:2224311,0.25
CD:74052,CP:2224315,0.25
CD:162332,CP:2224324,0.25
CD:211866,CP:2224366,0.25
CD:204472,CP:2224607,0.25
CD:204428,CP:2224730,0.25
CD:178881,CP:2224818,0.25
CD:204463,CP:2224953,0.0
CD:68720,CP:2225223,0.25
CD:204544,CP:2225359,0.25
CD:204422,CP:2225387,0.0
CD:178925,CP:2225399,0.25
CO:253,CP:2225435,0.75
CD:178924,CP:2225743,0.25
CD:204559,CP:2225761,0.25
CO:253,CP:2225778,1.0
CD:204450,CP:2225884,0.25
CD:198783,CP:2225892,0.25
CO:253,CP:2225928,0.75
CO:253,CP:2225989,0.75
CD:122974,CP:2226261,0.25
