name,label,partido,type,score,bigtype,billtype,cod_partido,uf
CP:2195909,PL 1861/2019,,Proposicao,0.25,bill,PL,,
CP:2195992,PL 1874/2019,,Proposicao,0.25,bill,PL,,
CP:2196018,PL 1879/2019,,Proposicao,0.25,bill,PL,,
CP:2196107,PLP 90/2019,,Proposicao,0.25,bill,PLP,,
CP:2196157,PL 1901/2019,,Proposicao,1.0,bill,PL,,
CP:2196339,PL 1931/2019,,Proposicao,1.0,bill,PL,,
CP:2196394,PL 1941/2019,,Proposicao,0.25,bill,PL,,
CP:2196406,PL 1943/2019,,Proposicao,0.5,bill,PL,,
CP:2196476,PL 1968/2019,,Proposicao,0.0,bill,PL,,
CP:2196504,PL 1974/2019,,Proposicao,0.25,bill,PL,,
CP:2196571,PL 1981/2019,,Proposicao,0.25,bill,PL,,
CP:2196586,PL 1985/2019,,Proposicao,0.5,bill,PL,,
CP:2196699,PL 2003/2019,,Proposicao,0.25,bill,PL,,
CP:2196730,PL 2016/2019,,Proposicao,0.25,bill,PL,,
CP:2196735,PL 2021/2019,,Proposicao,0.25,bill,PL,,
CP:2196795,PL 2035/2019,,Proposicao,0.25,bill,PL,,
CP:2196809,PL 2041/2019,,Proposicao,0.25,bill,PL,,
CP:2196833,PEC 45/2019,,Proposicao,1.0,bill,PEC,,
CP:2196861,PLP 97/2019,,Proposicao,0.25,bill,PLP,,
CP:2196880,PL 2061/2019,,Proposicao,0.25,bill,PL,,
CP:2196991,PL 2077/2019,,Proposicao,1.0,bill,PL,,
CP:2197170,PL 2131/2019,,Proposicao,0.25,bill,PL,,
CP:2197238,PL 2143/2019,,Proposicao,0.25,bill,PL,,
CP:2197247,PL 2149/2019,,Proposicao,0.25,bill,PL,,
CP:2197276,PL 2159/2019,,Proposicao,0.25,bill,PL,,
CP:2197322,PL 2165/2019,,Proposicao,0.25,bill,PL,,
CP:2197427,PL 2192/2019,,Proposicao,0.25,bill,PL,,
CP:2197504,PEC 48/2019,,Proposicao,0.75,bill,PEC,,
CP:2197579,PL 2215/2019,,Proposicao,0.25,bill,PL,,
CP:2197697,PL 2229/2019,,Proposicao,0.25,bill,PL,,
CP:2197797,PL 2249/2019,,Proposicao,0.25,bill,PL,,
CP:2197910,PL 2266/2019,,Proposicao,0.25,bill,PL,,
CP:2197918,PL 2267/2019,,Proposicao,0.25,bill,PL,,
CP:2198011,PL 2277/2019,,Proposicao,0.25,bill,PL,,
CP:2198027,PL 2284/2019,,Proposicao,0.25,bill,PL,,
CP:2198216,PL 2298/2019,,Proposicao,0.25,bill,PL,,
CP:2198219,PL 2300/2019,,Proposicao,0.25,bill,PL,,
CP:2198306,PL 2305/2019,,Proposicao,0.25,bill,PL,,
CP:2198310,PL 2308/2019,,Proposicao,0.25,bill,PL,,
CP:2198320,PL 2314/2019,,Proposicao,0.25,bill,PL,,
CP:2198326,PL 2317/2019,,Proposicao,0.0,bill,PL,,
CP:2198335,PL 2324/2019,,Proposicao,0.25,bill,PL,,
CP:2198398,PL 2332/2019,,Proposicao,0.0,bill,PL,,
CP:2198422,PL 2337/2019,,Proposicao,0.25,bill,PL,,
CP:2198424,PL 2338/2019,,Proposicao,0.25,bill,PL,,
CP:2198464,PL 2349/2019,,Proposicao,0.25,bill,PL,,
CP:2198488,PL 2354/2019,,Proposicao,0.25,bill,PL,,
CP:2198615,PL 2401/2019,,Proposicao,0.25,bill,PL,,
CP:2198621,PL 2403/2019,,Proposicao,0.25,bill,PL,,
CP:2198698,PL 2410/2019,,Proposicao,0.25,bill,PL,,
CP:2198751,PL 2419/2019,,Proposicao,0.25,bill,PL,,
CP:2198835,PL 2424/2019,,Proposicao,0.25,bill,PL,,
CP:2198856,PL 2435/2019,,Proposicao,1.0,bill,PL,,
CP:2198967,PL 2458/2019,,Proposicao,1.0,bill,PL,,
CP:2199009,PL 2466/2019,,Proposicao,1.0,bill,PL,,
CP:2199048,PL 2471/2019,,Proposicao,0.0,bill,PL,,
CP:2199133,PL 2487/2019,,Proposicao,0.25,bill,PL,,
CP:2199158,PL 2495/2019,,Proposicao,0.0,bill,PL,,
CP:2199161,PL 2497/2019,,Proposicao,0.75,bill,PL,,
CP:2199229,PL 2512/2019,,Proposicao,0.25,bill,PL,,
CP:2199303,PL 2522/2019,,Proposicao,1.0,bill,PL,,
CP:2199364,PL 2530/2019,,Proposicao,0.25,bill,PL,,
CP:2199434,PL 2539/2019,,Proposicao,0.25,bill,PL,,
CP:2199436,PL 2541/2019,,Proposicao,0.25,bill,PL,,
