source,target,etype
CD:204444,CP:2208090,autoria
CD:164359,CP:2208102,autoria
CD:160534,CP:2208323,autoria
CD:160534,CP:2208325,autoria
CD:204458,CP:2208366,autoria
CO:78,CP:2208679,autoria
CO:78,CP:2208682,autoria
CO:78,CP:2208683,autoria
CO:78,CP:2208696,autoria
CO:78,CP:2208704,autoria
CD:164360,CP:2208715,autoria
CO:253,CP:2208720,autoria
CD:204444,CP:2208914,autoria
CD:204444,CP:2208919,autoria
CD:204399,CP:2209022,autoria
CD:98057,CP:2209101,autoria
CD:204531,CP:2209143,autoria
CD:166402,CP:2209477,autoria
CD:204377,CP:2209672,autoria
CD:204484,CP:2209908,autoria
CD:204369,CP:2209952,autoria
CD:204550,CP:2210097,autoria
CO:78,CP:2210109,autoria
CD:178925,CP:2210127,autoria
CD:204525,CP:2210260,autoria
CD:171623,CP:2210295,autoria
CD:116379,CP:2210706,autoria
CO:78,CP:2210757,autoria
CD:204570,CP:2210811,autoria
CD:205476,CP:2210896,autoria
CD:204541,CP:2211561,autoria
CD:108338,CP:2211689,autoria
CD:204352,CP:2211757,autoria
CD:178925,CP:2211836,autoria
CD:178925,CP:2211840,autoria
CD:204488,CP:2211880,autoria
CD:205865,CP:2211927,autoria
CD:115746,CP:2212010,autoria
CD:204548,CP:2212069,autoria
CD:204378,CP:2212074,autoria
CD:204457,CP:2212104,autoria
CD:204538,CP:2212149,autoria
CD:204457,CP:2212201,autoria
CD:204433,CP:2212434,autoria
CD:178989,CP:2212439,autoria
CD:178874,CP:2212479,autoria
CD:204462,CP:2212577,autoria
CO:253,CP:2212588,autoria
CO:78,CP:2212908,autoria
CO:253,CP:2212915,autoria
CD:122974,CP:2212927,autoria
CO:253,CP:2212949,autoria
CO:253,CP:2213191,autoria
CO:253,CP:2213200,autoria
CD:160653,CP:2213221,autoria
CD:160653,CP:2213229,autoria
CD:160653,CP:2213238,autoria
CO:253,CP:2213323,autoria
CO:253,CP:2213325,autoria
CD:160587,CP:2213524,autoria
CD:204511,CP:2213734,autoria
CD:179587,CP:2213774,autoria
CD:141401,CP:2213795,autoria
CD:141488,CP:2213953,autoria
CD:178993,CP:2213984,autoria
CD:204517,CP:2214009,autoria
CD:204427,CP:2214010,autoria
CD:204534,CP:2214025,autoria
CD:204408,CP:2214038,autoria
CD:178977,CP:2214043,autoria
CD:204455,CP:2214140,autoria
CD:204492,CP:2214197,autoria
CD:81297,CP:2214218,autoria
CD:204428,CP:2214292,autoria
CD:204421,CP:2214320,autoria
